"","accession","isolate","host","db_xref","country","collection_date","note","length","definition","version"
"1","MT454633","361/15","Proteles cristata",11292,"South Africa","2015",NA,11908,"Rabies lyssavirus isolate 361/15, complete genome.","MT454633.1"
"2","MT454632","155/15","Proteles cristata",11292,"South Africa","2015",NA,11902,"Rabies lyssavirus isolate 155/15, complete genome.","MT454632.1"
"3","LR812033","C/POL/2017/B",NA,11292,NA,NA,"monopartite",11919,"Rabies lyssavirus isolate C/POL/2017/B genome assembly, complete genome: monopartite.","LR812033.1"
"4","MK920923","19RS359","Potos flavus",11292,"Brazil","2010",NA,11861,"Rabies lyssavirus isolate 19RS359, complete genome.","MK920923.1"
"5","MK598398","10244","cat",11292,"Hungary","1996",NA,11796,"Rabies lyssavirus isolate 10244, complete genome.","MK598398.1"
"6","MK598397","41108","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 41108, complete genome.","MK598397.1"
"7","MK598396","35313","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 35313, complete genome.","MK598396.1"
"8","MK598395","33424","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 33424, complete genome.","MK598395.1"
"9","MK598394","16367","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 16367, complete genome.","MK598394.1"
"10","MK598393","14940","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 14940, complete genome.","MK598393.1"
"11","MK598392","13070","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 13070, complete genome.","MK598392.1"
"12","MK598391","9435","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 9435, complete genome.","MK598391.1"
"13","MK598390","1801","deer",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 1801, complete genome.","MK598390.1"
"14","MK598389","31167","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 31167, complete genome.","MK598389.1"
"15","MK598388","29504","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 29504, complete genome.","MK598388.1"
"16","MK598387","26636","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 26636, complete genome.","MK598387.1"
"17","MK598386","26631","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 26631, complete genome.","MK598386.1"
"18","MK598385","26627","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 26627, complete genome.","MK598385.1"
"19","MK598384","24956","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 24956, complete genome.","MK598384.1"
"20","MK598383","23335","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 23335, complete genome.","MK598383.1"
"21","MK598382","22934","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 22934, complete genome.","MK598382.1"
